Country,Indicator,Year,Inflation_Rate,ID
North Macedonia ,Annual average inflation (consumer prices) rate,1989,,North Macedonia _1989
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,1989,5.1,Saint Kitts and Nevis_1989
Saint Lucia,Annual average inflation (consumer prices) rate,1989,4.4,Saint Lucia_1989
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,1989,2.6,Saint Vincent and the Grenadines_1989
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,1989,,"South Sudan, Republic of_1989"
Syria,Annual average inflation (consumer prices) rate,1989,15.4,Syria_1989
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,1989,42.9,São Tomé and Príncipe_1989
Taiwan Province of China,Annual average inflation (consumer prices) rate,1989,4.4,Taiwan Province of China_1989
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,1989,63.3,"Türkiye, Republic of_1989"
Venezuela,Annual average inflation (consumer prices) rate,1989,84.5,Venezuela_1989
Yemen,Annual average inflation (consumer prices) rate,1989,,Yemen_1989
"China, People's Republic of",Annual average inflation (consumer prices) rate,1990,3.1,"China, People's Republic of_1990"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,1990,81.3,"Congo, Dem. Rep. of the_1990"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,1990,0.3,"Congo, Republic of _1990"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,1990,-0.7,Côte d'Ivoire_1990
Egypt,Annual average inflation (consumer prices) rate,1990,21.2,Egypt_1990
Hong Kong SAR,Annual average inflation (consumer prices) rate,1990,10.3,Hong Kong SAR_1990
Iran,Annual average inflation (consumer prices) rate,1990,9.0,Iran_1990
"Korea, Republic of",Annual average inflation (consumer prices) rate,1990,8.6,"Korea, Republic of_1990"
Lao P.D.R.,Annual average inflation (consumer prices) rate,1990,-26.3,Lao P.D.R._1990
Macao SAR,Annual average inflation (consumer prices) rate,1990,,Macao SAR_1990
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,1990,,"Micronesia, Fed. States of_1990"
North Macedonia ,Annual average inflation (consumer prices) rate,1990,,North Macedonia _1990
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,1990,4.2,Saint Kitts and Nevis_1990
Saint Lucia,Annual average inflation (consumer prices) rate,1990,4.3,Saint Lucia_1990
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,1990,7.2,Saint Vincent and the Grenadines_1990
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,1990,,"South Sudan, Republic of_1990"
Syria,Annual average inflation (consumer prices) rate,1990,11.1,Syria_1990
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,1990,42.2,São Tomé and Príncipe_1990
Taiwan Province of China,Annual average inflation (consumer prices) rate,1990,4.1,Taiwan Province of China_1990
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,1990,60.3,"Türkiye, Republic of_1990"
Venezuela,Annual average inflation (consumer prices) rate,1990,40.7,Venezuela_1990
Yemen,Annual average inflation (consumer prices) rate,1990,,Yemen_1990
"China, People's Republic of",Annual average inflation (consumer prices) rate,1991,3.4,"China, People's Republic of_1991"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,1991,2154.4,"Congo, Dem. Rep. of the_1991"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,1991,9.4,"Congo, Republic of _1991"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,1991,1.6,Côte d'Ivoire_1991
Egypt,Annual average inflation (consumer prices) rate,1991,14.7,Egypt_1991
Hong Kong SAR,Annual average inflation (consumer prices) rate,1991,11.2,Hong Kong SAR_1991
Iran,Annual average inflation (consumer prices) rate,1991,20.2,Iran_1991
"Korea, Republic of",Annual average inflation (consumer prices) rate,1991,9.3,"Korea, Republic of_1991"
Lao P.D.R.,Annual average inflation (consumer prices) rate,1991,13.4,Lao P.D.R._1991
Macao SAR,Annual average inflation (consumer prices) rate,1991,,Macao SAR_1991
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,1991,,"Micronesia, Fed. States of_1991"
North Macedonia ,Annual average inflation (consumer prices) rate,1991,,North Macedonia _1991
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,1991,4.2,Saint Kitts and Nevis_1991
Saint Lucia,Annual average inflation (consumer prices) rate,1991,5.5,Saint Lucia_1991
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,1991,5.9,Saint Vincent and the Grenadines_1991
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,1991,,"South Sudan, Republic of_1991"
Syria,Annual average inflation (consumer prices) rate,1991,9.0,Syria_1991
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,1991,46.5,São Tomé and Príncipe_1991
Taiwan Province of China,Annual average inflation (consumer prices) rate,1991,3.6,Taiwan Province of China_1991
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,1991,66.0,"Türkiye, Republic of_1991"
Venezuela,Annual average inflation (consumer prices) rate,1991,34.2,Venezuela_1991
Yemen,Annual average inflation (consumer prices) rate,1991,44.9,Yemen_1991
"China, People's Republic of",Annual average inflation (consumer prices) rate,1992,6.4,"China, People's Republic of_1992"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,1992,4129.2,"Congo, Dem. Rep. of the_1992"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,1992,-3.2,"Congo, Republic of _1992"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,1992,4.2,Côte d'Ivoire_1992
Egypt,Annual average inflation (consumer prices) rate,1992,21.1,Egypt_1992
Hong Kong SAR,Annual average inflation (consumer prices) rate,1992,9.6,Hong Kong SAR_1992
Iran,Annual average inflation (consumer prices) rate,1992,24.5,Iran_1992
"Korea, Republic of",Annual average inflation (consumer prices) rate,1992,6.2,"Korea, Republic of_1992"
Lao P.D.R.,Annual average inflation (consumer prices) rate,1992,9.8,Lao P.D.R._1992
Macao SAR,Annual average inflation (consumer prices) rate,1992,,Macao SAR_1992
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,1992,,"Micronesia, Fed. States of_1992"
North Macedonia ,Annual average inflation (consumer prices) rate,1992,,North Macedonia _1992
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,1992,2.8,Saint Kitts and Nevis_1992
Saint Lucia,Annual average inflation (consumer prices) rate,1992,5.7,Saint Lucia_1992
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,1992,3.8,Saint Vincent and the Grenadines_1992
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,1992,,"South Sudan, Republic of_1992"
Syria,Annual average inflation (consumer prices) rate,1992,11.1,Syria_1992
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,1992,33.7,São Tomé and Príncipe_1992
Taiwan Province of China,Annual average inflation (consumer prices) rate,1992,4.5,Taiwan Province of China_1992
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,1992,70.1,"Türkiye, Republic of_1992"
Venezuela,Annual average inflation (consumer prices) rate,1992,31.4,Venezuela_1992
Yemen,Annual average inflation (consumer prices) rate,1992,51.2,Yemen_1992
"China, People's Republic of",Annual average inflation (consumer prices) rate,1993,14.8,"China, People's Republic of_1993"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,1993,1986.9,"Congo, Dem. Rep. of the_1993"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,1993,-4.1,"Congo, Republic of _1993"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,1993,2.1,Côte d'Ivoire_1993
Egypt,Annual average inflation (consumer prices) rate,1993,11.0,Egypt_1993
Hong Kong SAR,Annual average inflation (consumer prices) rate,1993,8.8,Hong Kong SAR_1993
Iran,Annual average inflation (consumer prices) rate,1993,22.5,Iran_1993
"Korea, Republic of",Annual average inflation (consumer prices) rate,1993,4.8,"Korea, Republic of_1993"
Lao P.D.R.,Annual average inflation (consumer prices) rate,1993,5.7,Lao P.D.R._1993
Macao SAR,Annual average inflation (consumer prices) rate,1993,,Macao SAR_1993
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,1993,,"Micronesia, Fed. States of_1993"
North Macedonia ,Annual average inflation (consumer prices) rate,1993,338.7,North Macedonia _1993
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,1993,1.8,Saint Kitts and Nevis_1993
Saint Lucia,Annual average inflation (consumer prices) rate,1993,0.8,Saint Lucia_1993
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,1993,4.3,Saint Vincent and the Grenadines_1993
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,1993,,"South Sudan, Republic of_1993"
